Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Asociación de Comerciantes, Industriales y Profesionales de Hurlingham;ACIPH;22/10/2005;Si;SI;SI;SI;Vigente;1/11/2025;Eduardo Favio Gadea;1/11/2025;30610079543;OK;;;Buenos Aires;Hurlingham; PEDRO DE MENDOZA 1284 (CP 1686) HURLINGHAM, Buenos Aires  
Asociación de Comerciantes, Industriales, Profesionales y Amigos de Avenida Zuviría;ACIPA;30/4/2009;NO;NO;SI;NO;Vencida;12/12/2019;Raúl Vacou;12/12/2019;30686944855;OK;;;Santa Fe;Santa Fe; Av. Facundo Zuviria 5263 (CP 3000) SANTA FE, Santa Fe  
Asociación de Comerciantes, Industriales, Profesionales y Amigos de la Avenida Aristóbulo del Valle;ACAV;20/1/2016;NO;SI;SI;SI;Vigente;4/4/2025;Georgina Giay;4/4/2025;30629837473;OK;;;Santa Fe;Santa Fe; AV. ARISTOBULO DEL VALLE 6726 (CP 3000) SANTA FE, Santa Fe  
Asociación de Comerciantes, Industriales, Profesionales y Emprendedores de la Av. San Martín y Adyacencias;ACASMA;26/4/2017;SI;SI;SI;SI;Vencida;1/10/2019;Fabián Xavier Castillo;31/12/2023;30715514369;OK;;;CABA;; Alejandro Magariños Cervantes 1338 PB (CP 1416) Ciudad Autónoma de Buenos Aires  
Asociación de Comercio e Industria de Castelar Sur;ACICAS;11/4/2013;NO;SI;NO;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30711489181;BAJA DE OFICIO;;;Buenos Aires;Castelar; Blas Parera 1182/86 (CP 1714) CASTELAR, Buenos Aires  
Asociación de Comercio e Industria de Coronel Pringles;ACI;3/10/2019;NO;NO;SI;NO;Vigente;30/5/2025;Omar Alfonso Dintino;30/5/2025;30562380937;OK;;;Buenos Aires;Coronel Pringles; BARTOLOM 957 (CP 7530) CORONEL PRINGLES, Buenos Aires  
Asociación de Comercio e Industria de Monte Hermoso;ACIMH;6/8/2009;NO;SI;SI;SI;Vigente;9/8/2026;Claudio Biragnet;9/8/2026;30710909624;OK;;;Buenos Aires;Monte Hermoso; NELIDA MARIA FOSSATY 113 (CP 8153) MONTE HERMOSO, Buenos Aires  
Asociación de Comercio e Industria de Villa Gobernador Gálvez;ACIVGG;28/2/2003;Si;SI;SI;NO;Vencida;30/11/2020;Veronica Martinengo;30/11/2023;30645690024;OK;;;Santa Fe;Villa Gobernador Galvez; AVENIDA JUAN DOMINGO PER 1945 (CP 2124) VILLA GOBERNADOR GALVEZ, Santa Fe  
Asociación de Comercio, Industria y Producción de Goya;ACIPG;4/11/2015;NO;SI;SI;SI;Vencida;31/10/2023;Carlos Iván Vilas;31/10/2023;30601080164;OK;;;Corrientes;Goya; CORRIENTES 682 (CP 3450) GOYA, Corrientes  
Asociación de Comercio, Industria y Producción de Las Breñas;;14/5/2009;Si;SI;SI;SI;Vigente;31/7/2024;Gustavo Delbon;31/7/2024;30638984934;OK;;;Chaco;Las Breñas; AV. GENERAL JONES 1154 (CP 3722) LAS BREÑAS, Chaco  
Asociación de Concesionarios de Automotores de la República Argentina;ACARA;6/5/1986;NO;NO;SI;NO;Vigente;30/11/2022;Sebastian Beato;30/12/2024;30527834291;OK;;;CABA;; Ac Cordoba 3371 (CP 1187) Ciudad Autónoma de Buenos Aires  CABA  
Asociación De Empresarios Cinematográficos De La Provincia De Buenos Aires;;3/11/2016;NO;SI;SI;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30676595860;OK;;;Buenos Aires;; AYACUCHO 457 1 13 (CP 1026) Ciudad Autónoma de Buenos Aires  
Asociación de Empresarios de la Producción, Industria, Comercio y Servicios de la Ciudad Porturaria de Barranqueras;;27/11/2001;NO;SI;SI;SI;Vencida;1/1/2021;Germán Ibarra;1/1/2021;30711342318;CONSTANCIA BLOQUEADA;;;Chaco;Barranqueras; SARGENTO CABRAL 5450 (CP 3503) BARRANQUERAS, Chaco  
Asociación de Empresarios de la Región Centro Argentino;AERCA;00/00/0000;Si;SI;SI;SI;Vigente;29/12/2025;Carolina Andrea Bénito;10/12/2025;30531524205;OK;;;Córdoba;Villa Maria; SAN JUAN 1369 (CP 5900) VILLA MARIA, Córdoba  
Asociación de Empresarios y Empresarias PYME por la Igualdad de Oportunidades de la Ciudad de Buenos Aires;ASEMPIO;21/6/2010;Si;SI;SI;SI;Vencida;1/4/2024;Liliana Rosa Castro;1/4/2024;30714045381;OK;;;CABA;; Tacuarí 624 (CP 1071) Ciudad Autónoma de Buenos Aires  DIREC. SEDE SOCIAL  
Asociación de Empresas, Profesionales y Afines Tucumanos a la Tecnología de la Información;AETTI;24/1/2013;NO;SI;SI;SI;Vencida;23/3/2019;Omar Adrián Rivas;23/3/2019;33712485219;BAJA DE OFICIO;;;Tucumán;San Miguel De Tucuman; Santiago del Estero 1908 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Asociación de Entidades de Educación a Distancia y Tecnologías Educativas de la República Argentina;EDUTIC;13/8/2004;NO;NO;NO;NO;Vencida;30/10/2016;Gabriela Sacco;30/10/2016;30707976825;BAJA DE OFICIO;;;CABA;; Av.Córdoba 1856 3 (CP 1120) Ciudad Autónoma de Buenos Aires  
Asociación de Fabricantes de Porcelana, Loza y Afines;AFAPOLA;17/4/2008;NO;NO;NO;NO;Vencida;30/12/2019;Rafael Sucri;30/12/2019;30654329873;CONSTANCIA BLOQUEADA;;;CABA;; AVENIDA L. N. ALEM 1067 13 Of. 43 (CP 1001) Ciudad Autónoma de Buenos Aires  
Asociación de Industriales de la Provincia de Buenos Aires;ADIBA;14/4/2009;Si;NO;SI;NO;Vencida;31/12/2021;Silvio Omar Zurzolo;31/12/2021;30644121220;OK;;;Buenos Aires;La Plata;Calle 56 338, La Plata, Buenos Aires
Asociación de Institutos de Enseñanza Privada de la Provincia de Buenos Aires;AIEPBA;17/7/2018;Si;SI;SI;SI;Vigente;31/12/2027;Marina Bermúdez;31/12/2025;30662504145;OK;;;Buenos Aires;; Av. Corrientes 1145 2 35/38 (CP 1043) Ciudad Autónoma de Buenos Aires  
Asociación de la Prensa Técnica y Especializada Argentina;APTA;6/10/2005;NO;NO;SI;NO;Vencida;30/12/2023;Gonzalo Rodrigo Yrurtia;30/12/2023;30649231520;BAJA DE OFICIO;;;CABA;;" MARCELO T. DE ALVEAR 976 6 Of. ""E"" 2do. cpo. (CP 1058) Ciudad Autónoma de Buenos Aires  "
Asociación de la Producción, Industria y Comercio de Corrientes;APICC;26/10/1995;Si;SI;SI;SI;Vigente;31/12/2023;Agusto Massochi;31/12/2025;33526971979;OK;;;Corrientes;Corrientes; SALTA 769 (CP 3400) CORRIENTES, Corrientes  
Asociación de Pequeñas y Medianas Empresas Lácteas;APYMEL;13/6/2013;Si;SI;SI;NO;Vencida;9/12/2023;Pablo Alfredo Villano;9/12/2023;33709139059;OK;;;Córdoba;; Mariano Moreno 502 2 Of: 224 (CP 1091) Ciudad Autónoma de Buenos Aires  
Asociación de Pequeñas y Medianas Industrias Molineras de la República Argentina;APYMIMRA;16/3/2017;NO;SI;SI;SI;Vigente;30/4/2025;Ernesto Francisco Picchio;30/4/2025;30708126353;OK;;;Buenos Aires;San Nicolas; Sargento Cabral 646 (CP 2900) SAN NICOLAS, Buenos Aires  
Asociación de Pequeños Productores Agropecuarios de Gobernador Gregores;;3/12/2009;NO;NO;NO;NO;Vencida;1/1/2021;Florentino Bahamonde;1/1/2021;0;SIN CUIT;SI;03/12/2009;Santa Cruz;Gobernador Gregores; PARADELO 310 (CP 9311) GOBERNADOR GREGORES, Santa Cruz  
Asociación de Prestadores de Servicios Turísticos y Afines del Departamento de Aluminé;APRETUR;20/9/2012;NO;NO;NO;NO;Vencida;1/9/2016;0/1/1900;1/9/2016;30712464581;CONSTANCIA BLOQUEADA;;;Neuquén;Alumine; Felix San Martin 420 (CP 8345) ALUMINE, Neuquén  
Asociación de Productores Agropecuarios de Jujuy;APROJUY;21/8/2019;NO;SI;SI;SI;Vencida;21/3/2022;Marcelo Quevedo Carrillo;21/3/2022;30716477157;OK;;;Jujuy;San Salvador De Jujuy; San Martin 300 (CP 4600) SAN SALVADOR DE JUJUY, Jujuy  
Asociación de Productores Agropecuarios de Misiones;APAM;29/6/2017;NO;SI;NO;SI;Vencida;30/4/2021;Cristian Klingbeil;30/4/2021;0;SIN CUIT;SI;16/03/2017;Misiones;Guarani; Lote 15 C (CP 3361) GUARANI, Misiones  
Asociación de Productores Agropecuarios del Atuel;;22/9/2011;NO;SI;NO;SI;Vencida;31/12/2019;Roberto Victor Hartman;31/12/2019;30711066337;BAJA DE OFICIO;;;Mendoza;General Alvear; CENTENARIO entre 16 y 17 (CP 5620) GENERAL ALVEAR, Mendoza  
Asociación de Productores de Arándanos de la Mesopotamia Argentina;APAMA;16/8/2012;NO;SI;SI;SI;Vigente;1/8/2025;Alejandro Adrián Pannunzio;1/8/2025;30709419753;OK;;;Entre Ríos;Concordia; Pellegrini 407 (CP 3200) CONCORDIA, Entre Ríos  
Asociación de Productores de Legumbres del NOA;APL del NOA;17/12/2009;NO;SI;SI;SI;Vencida;19/1/2023;José Natalio Iglesias;19/1/2023;30707592113;OK;;;Salta;Rosario De La Frontera; GUEMES 40 (CP 4190) ROSARIO DE LA FRONTERA, Salta  
Asociación de Productores del Oasis Este de Mendoza;APROEM;9/4/2015;NO;SI;SI;SI;Vigente;16/8/2024;Edgardo Raul Roby;16/8/2024;30715030655;OK;;;Mendoza;Rivadavia; Jose Manuel Estrada 1180 (CP 5577) RIVADAVIA, Mendoza  
Asociación de Productores Hortícolas de Entre Ríos;APHRE;3/6/2010;NO;NO;SI;NO;Vencida;12/10/2023;Silvia Evangelina Berzano;12/10/2020;30711345554;BAJA DE OFICIO;;;Entre Ríos;; Peron 507 (CP 3100) PARANA, Entre Ríos  
Asociación de Productores Hortícolas de la Plata;APHLP;8/4/2010;NO;SI;NO;SI;Vencida;4/9/2018;Pablo Coltrinari;4/9/2018;30678009608;BAJA DE OFICIO;;;Buenos Aires;La Plata; Calle 195 Bis y 45 (CP 1901) LA PLATA, Buenos Aires  
Asociación de Productores Hortícolas de la Provincia de Córdoba;APRODUCO;18/11/2010;NO;SI;SI;SI;Vencida;12/6/2021;Juan Bautista Perló;12/6/2021;30707849920;OK;;;Córdoba;Villa Esquiu; Av. De la Semilleria s/n (CP 5101) Córdoba  
Asociación de Productores Hortiflorícolas de Florencio Varela - Berazategui;APHOVABE;23/6/2011;NO;SI;NO;NO;Vencida;31/12/2018;Manuel Dos Santos Domínguez;31/12/2018;30684237957;BAJA DE OFICIO;;;Buenos Aires;Florencio Varela; CONCEJAL JUAN BROWN 38 (CP 1888) FLORENCIO VARELA, Buenos Aires  
Asociacion de Productores Tabacaleros de Tucuman - La Cocha;APTT - LA COCHA;3/12/2009;NO;SI;SI;SI;Vencida;11/5/2024;Luis Serapio Bravo;11/5/2024;30675273134;BAJA DE OFICIO;;;Tucumán;La Cocha; SAN MARTIN 377 (CP 4162) LA COCHA, Tucumán  
Asociación de Productores Vitivinícolas del Valle Calchaquí;APROVIVAC;14/4/2011;NO;NO;NO;SI;Vencida;31/12/2020;Miguel Ángel Lovaglio;31/12/2020;30712191828;BAJA DE OFICIO;;;Salta;Cafayate; Pasaje Frías 428 (CP 4427) CAFAYATE, Salta  
Asociación de Productores, Empacadores, y Exportadores de Ajos, Cebollas y Afines de Mendoza;ASOC.A.M.;10/7/2014;NO;NO;SI;NO;Vencida;31/1/2022;Daniel Espósito;31/1/2022;30657219777;OK;;;Mendoza;Mendoza; Bandera de los andes 10329 1 2 (CP 5525) MENDOZA, Mendoza  
Asociación de Productores, Industriales y Comerciantes Forestales de Misiones y Norte de Corrientes;APICOFOM;5/7/2012;Si;SI;SI;SI;Vigente;31/12/2024;Federico Guillermo Fachinello;2/12/2024;30595191536;OK;;;Misiones;Posadas; Av. López Torres 5538 (CP 3300) POSADAS, Misiones  
Asociación de Profesionales de Empresas de Servicios de Argentina;ASPESA;9/12/2015;NO;SI;SI;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30715085204;OK;;;CABA;CABA;PACHECO 2076 (CP 1431) CABA
Asociación de Propietarios Parque Industrial Chivilcoy;;17/12/2009;NO;NO;SI;NO;Vigente;23/12/2016;Luciano Giacomini;30/5/2025;30710354878;OK;;;Buenos Aires;Chivilcoy; Pellegrini 220 2 16 (CP 6620) CHIVILCOY, Buenos Aires  DIREC. SEDE SOCIAL  
Asociación de Proveedores de la Industria Alimenticia;ADEPIA;20/1/2016;NO;SI;SI;SI;Vencida;31/12/2023;Diego Cobian;31/12/2023;30708304316;OK;;;CABA;; SUIPACHA 576 (CP 1008) Ciudad Autónoma de Buenos Aires  
Asociación de Tabacaleros de Salta;ATS;19/9/2018;NO;SI;SI;NO;Vigente;31/07/2024;Miguel Alfredo Castilla;31/7/2024;30707932348;OK;;;Salta;Salta; DEL MILAGRO 161 (CP 4400) SALTA, Salta  
Asociación de Tecnología de la Información y Comunicación de Mar del Plata;ATICMA;17/5/2012;Si;SI;SI;SI;Vigente;31/12/2024;Bernardo Martinez Saenz;31/12/2024;30709803901;OK;;;Buenos Aires;Mar Del Plata; Corrientes 1725 2 9 (CP 7600) MAR DEL PLATA, Buenos Aires  
Asociación de Viñateros de Mendoza;A.V.M;24/8/2016;NO;SI;SI;SI;Vencida;30/12/2019;Eduardo Antonio Córdoba;30/12/2019;30545229818;OK;;;Mendoza;Mendoza; Av España 1248 6 Of. 81 (CP 5500) MENDOZA, Mendoza  
Asociación de Viñateros y Fruticultores Independientes de San Juan;AVFISJ;5/11/2009;NO;SI;SI;SI;Vencida;31/12/2022;Juan José Ramos;31/12/2022;30700744376;BAJA DE OFICIO;;;San Juan;San Juan; SATURNINO SARASSA 256 (CP 5400) SAN JUAN, San Juan  
Asociación del Comercio, Industria, Producción y Afines del Neuquén;ACIPAN;2/9/1993;NO;SI;SI;SI;Vigente;15/1/2025;Daniel González;15/1/2025;30569318625;OK;;;Neuquén;Neuquen; DIAGONAL 9 DE JULIO 67 2º Of. 3 (CP 8300) NEUQUEN, Neuquén  
Asociación del Comercio, la Industria y Servicios de Paso de los Libres;;8/6/2001;NO;SI;NO;SI;Vencida;30/12/2019;María Elizabeth Raggio;30/12/2019;30589065898;BAJA DE OFICIO;;;Corrientes;Paso De Los Libres; Coronel Lopez 1388 (CP ) PASO DE LOS LIBRES, Corrientes   Rivadavia 1036 (CP 3230) PASO DE LOS LIBRES, Corrientes  
Asociación Distribuidores de Golosinas, Galletitas y Afines;ADGYA;6/10/2016;NO;SI;SI;SI;Vigente;1/12/2025;Gerardo Cima;1/12/2025;30557758654;OK;;;CABA;; PERU 913 (CP 1068) Ciudad Autónoma de Buenos Aires  
Asociación Empresaria de Rosario;AER;14/7/2017;SI;SI;SI;SI;Vencida;31/12/2022;Ricardo Diab;30/7/2023;30527021142;OK;;;Santa Fe;Rosario; ESPAÑA 848 (CP 2000) ROSARIO, Santa Fe  
Asociación Estaciones de Servicios de la República Argentina;AES;12/2/2002;NO;NO;SI;NO;Vigente;31/12/2024;Carlos Daniel Madrazo;31/12/2024;30540751958;OK;;;CABA;; BELGRANO 3700 (CP 1210) Ciudad Autónoma de Buenos Aires  
Asociación Fabricantes Artesanales de Helados y Afines;AFADHYA;28/4/1993;NO;NO;SI;NO;Vencida;30/6/2024;Maximiliano Cesar Macarrone;30/6/2024;30623331152;OK;;;CABA;; SANTIAGO DEL ESTERO 924 (CP 1075) Ciudad Autónoma de Buenos Aires  
Asociación Inmobiliaria Edificios de Renta y Horizontal;AIERH;15/5/2014;NO;SI;SI;SI;Vencida;1/5/2024;Raúl Costa;1/5/2024;33670367399;CUIT ERRONEO;;;CABA;; MORENO 1881 (CP 1094) Ciudad Autónoma de Buenos Aires  
Asociación Los Andes Productores Agropecuarios;ALAPA;9/9/2015;NO;SI;SI;SI;Vencida;31/12/2022;Martín Sasaki;31/12/2022;30670383675;OK;;;Chubut;Trevelin; Ruta Aldea Escolar KM.2 Contiguo a Bigeato (CP 9203) TREVELIN, Chubut  
Asociación Maderera, Aserraderos y Afines del Alto Paraná;AMAYADAP;16/7/2015;NO;SI;SI;SI;Vigente;21/12/2023;Gabriel Alejandro Marangoni;1/12/2024;33672446509;OK;;;Misiones;Eldorado; MALVINAS 2063 (CP 3380) ELDORADO, Misiones  
Asociación Mujeres Rurales en Acción;A.m.R;29/3/2012;NO;SI;NO;SI;Vencida;11/2/2022;Carmen Ortíz;11/2/2022;0;SIN CUIT;SI;-;Corrientes;Goya; Jose Gomez 434 PB (CP 3450) GOYA, Corrientes  DIREC. POSTAL  
Asociación Olivícola Catamarqueña;ASOLCAT;2/6/2011;NO;SI;SI;SI;Vigente;14/05/2025;Marcelo Aníbal Santaya;14/5/2025;30709463019;OK;;;Catamarca;San Fernando Del Valle De Catamarca; ESQUIU 340 (CP 4700) SAN FERNANDO DEL VALLE DE CATAMARCA, Catamarca  
Asociación Parque Industrial Salta;APIS;18/9/2009;NO;SI;SI;SI;Vigente;1/2/2025;Julio Javier Moreno;1/2/2025;30673040663;OK;;;Salta;Salta; AV. RODRIGUEZ DURAÑONA 750 (CP 4400) SALTA, Salta  
Asociación Propietarios de Camiones de La Plata;APCLP;30/7/2015;NO;SI;SI;SI;Vigente;21/10/2020;Venerando Mauger;21/10/2024;30709258490;OK;;;Buenos Aires;La Plata; 531 Nº16 e/120 y 121 16 (CP 1900) LA PLATA, Buenos Aires  
Asociación Red de las Pequeñas y Medianas Empresas Pymes;APYME;8/10/2008;NO;NO;NO;NO;Vigente;31/12/2018;Juan Moreno;31/12/2024;30708830778;CONSTANCIA BLOQUEADA;;;Chaco;Resistencia; PASAJE GUERRERO 455 1º (CP 3500) RESISTENCIA, Chaco  
Asociación Rionegrina Empresarial de Suministros y Afines Hidrocarburíferos y Mineros;ARE;28/7/2016;NO;SI;NO;SI;Vencida;25/4/2018;Eduardo Ananias Lara;25/4/2018;0;SIN CUIT;SI;08/07/2016;Río Negro;General Roca; BOLIVIA 1441 (CP 8332) GENERAL ROCA, Río Negro  
